source_step,native_part,method,load_error,save_code,bytes,extent_x_mm,extent_y_mm,extent_z_mm,seconds,status,role
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_CHEST_FRONT.step,generated\solidworks\portable_flat_round_v1\ZEROTH01_ROUND_V1_CHEST_FRONT.SLDPRT,reuse_current_native_SLDPRT,0,0,201406,178.000000,37.825000,130.000000,1.059,PASS,round_v1_printed_overlay
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_CHEST_BACK.step,generated\solidworks\portable_flat_round_v1\ZEROTH01_ROUND_V1_CHEST_BACK.SLDPRT,reuse_current_native_SLDPRT,0,0,193389,178.000000,37.825000,130.000000,0.991,PASS,round_v1_printed_overlay
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_HEAD_FRONT.step,generated\solidworks\portable_flat_round_v1\ZEROTH01_ROUND_V1_HEAD_FRONT.SLDPRT,reuse_current_native_SLDPRT,0,0,262513,136.000000,32.825000,85.000000,1.019,PASS,round_v1_printed_overlay
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_HEAD_BACK.step,generated\solidworks\portable_flat_round_v1\ZEROTH01_ROUND_V1_HEAD_BACK.SLDPRT,reuse_current_native_SLDPRT,0,0,283146,136.000000,32.825000,85.000000,0.988,PASS,round_v1_printed_overlay
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_PELVIS_FRONT.step,generated\solidworks\portable_flat_round_v1\ZEROTH01_ROUND_V1_PELVIS_FRONT.SLDPRT,reuse_current_native_SLDPRT,0,0,273801,106.377240,33.825000,62.000000,0.960,PASS,round_v1_printed_overlay
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_PELVIS_BACK.step,generated\solidworks\portable_flat_round_v1\ZEROTH01_ROUND_V1_PELVIS_BACK.SLDPRT,reuse_current_native_SLDPRT,0,0,234209,108.000000,33.825000,62.000000,1.032,PASS,round_v1_printed_overlay
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_MUZZLE_BADGE.step,generated\solidworks\portable_flat_round_v1\ZEROTH01_ROUND_V1_MUZZLE_BADGE.SLDPRT,reuse_current_native_SLDPRT,0,0,127046,68.000000,12.000000,33.000000,0.978,PASS,round_v1_printed_overlay
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_VISOR_BADGE.step,generated\solidworks\portable_flat_round_v1\ZEROTH01_ROUND_V1_VISOR_BADGE.SLDPRT,reuse_current_native_SLDPRT,0,0,98137,92.000000,8.000000,31.000000,0.958,PASS,round_v1_printed_overlay
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_CAMERA_LENSES.step,generated\solidworks\portable_flat_round_v1\ZEROTH01_ROUND_V1_CAMERA_LENSES.SLDPRT,reuse_current_native_SLDPRT,0,0,67056,73.000000,3.000000,19.000000,0.992,PASS,sensor_window_visual
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_TORSO_SPINE.step,generated\solidworks\portable_flat_round_v1\ZEROTH01_ROUND_V1_TORSO_SPINE.SLDPRT,reuse_current_native_SLDPRT,0,0,191866,144.000000,16.000000,196.000000,0.976,PASS,internal_parent_frame_structure
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_CAMERA_MODULE.step,generated\solidworks\portable_flat_round_v1\ZEROTH01_ROUND_V1_CAMERA_MODULE.SLDPRT,reuse_current_native_SLDPRT,0,0,109185,65.000000,20.000000,18.000000,0.956,PASS,assumed_rl_electronics_envelope
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_IMU_MODULE.step,generated\solidworks\portable_flat_round_v1\ZEROTH01_ROUND_V1_IMU_MODULE.SLDPRT,reuse_current_native_SLDPRT,0,0,98635,32.000000,25.000000,8.000000,1.031,PASS,assumed_rl_electronics_envelope
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_COMPUTE_MODULE.step,generated\solidworks\portable_flat_round_v1\ZEROTH01_ROUND_V1_COMPUTE_MODULE.SLDPRT,reuse_current_native_SLDPRT,0,0,105668,105.000000,20.000000,70.000000,1.005,PASS,assumed_rl_electronics_envelope
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_BATTERY_PACK.step,generated\solidworks\portable_flat_round_v1\ZEROTH01_ROUND_V1_BATTERY_PACK.SLDPRT,reuse_current_native_SLDPRT,0,0,116197,75.000000,38.000000,38.000000,0.969,PASS,assumed_rl_electronics_envelope
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_LEFT_SOLE.step,generated\solidworks\portable_flat_round_v1\ZEROTH01_ROUND_V1_LEFT_SOLE.SLDPRT,reuse_current_native_SLDPRT,0,0,144024,112.000000,16.000000,64.000000,0.995,PASS,round_v1_printed_overlay
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_RIGHT_SOLE.step,generated\solidworks\portable_flat_round_v1\ZEROTH01_ROUND_V1_RIGHT_SOLE.SLDPRT,reuse_current_native_SLDPRT,0,0,144242,112.000000,16.000000,64.000000,0.978,PASS,round_v1_printed_overlay
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_SERVO_CAGE.step,generated\solidworks\portable_flat_round_v1\ZEROTH01_ROUND_V1_SERVO_CAGE.SLDPRT,reuse_current_native_SLDPRT,0,0,241086,60.000000,46.000000,34.500000,0.966,PASS,parent_side_cnc_servo_cage
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_OUTPUT_HUB.step,generated\solidworks\portable_flat_round_v1\ZEROTH01_ROUND_V1_OUTPUT_HUB.SLDPRT,reuse_current_native_SLDPRT,0,0,256385,37.000000,37.000000,34.000000,1.030,PASS,child_side_horn_and_bearing_interface
source_assets\vendor\sts3250\FEETECH_STS3250.step,generated\solidworks\portable_flat_round_v1\FEETECH_STS3250.SLDPRT,reuse_current_native_SLDPRT,0,0,7797074,45.257504,37.553721,24.760954,1.261,PASS,vendor_reference_not_extra_inertial_mass
