source_step,native_part,method,load_error,save_code,bytes,extent_x_mm,extent_y_mm,extent_z_mm,seconds,status,role
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_CHEST_FRONT.step,generated\solidworks\portable_flat_round_v2\ZEROTH01_ROUND_V1_CHEST_FRONT.SLDPRT,reuse_current_native_SLDPRT,0,0,201287,178.000000,37.825000,130.000000,1.507,PASS,round_v1_printed_overlay
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_CHEST_BACK.step,generated\solidworks\portable_flat_round_v2\ZEROTH01_ROUND_V1_CHEST_BACK.SLDPRT,reuse_current_native_SLDPRT,0,0,192711,178.000000,37.825000,130.000000,1.339,PASS,round_v1_printed_overlay
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_HEAD_FRONT.step,generated\solidworks\portable_flat_round_v2\ZEROTH01_ROUND_V1_HEAD_FRONT.SLDPRT,reuse_current_native_SLDPRT,0,0,428060,151.386171,58.409211,101.932690,1.507,PASS,round_v1_printed_overlay
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_HEAD_BACK.step,generated\solidworks\portable_flat_round_v2\ZEROTH01_ROUND_V1_HEAD_BACK.SLDPRT,reuse_current_native_SLDPRT,0,0,399675,153.214592,67.282032,102.000000,1.523,PASS,round_v1_printed_overlay
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_PELVIS_FRONT.step,generated\solidworks\portable_flat_round_v2\ZEROTH01_ROUND_V1_PELVIS_FRONT.SLDPRT,reuse_current_native_SLDPRT,0,0,274363,106.377240,33.825000,62.000000,1.565,PASS,round_v1_printed_overlay
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_PELVIS_BACK.step,generated\solidworks\portable_flat_round_v2\ZEROTH01_ROUND_V1_PELVIS_BACK.SLDPRT,reuse_current_native_SLDPRT,0,0,234956,108.000000,33.825000,62.000000,1.440,PASS,round_v1_printed_overlay
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_MUZZLE_BADGE.step,generated\solidworks\portable_flat_round_v2\ZEROTH01_ROUND_V1_MUZZLE_BADGE.SLDPRT,reuse_current_native_SLDPRT,0,0,186381,40.000000,11.547005,22.000000,1.478,PASS,round_v1_printed_overlay
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_VISOR_BADGE.step,generated\solidworks\portable_flat_round_v2\ZEROTH01_ROUND_V1_VISOR_BADGE.SLDPRT,reuse_current_native_SLDPRT,0,0,160999,100.000000,9.699485,46.000000,1.580,PASS,round_v1_printed_overlay
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_CAMERA_LENSES.step,generated\solidworks\portable_flat_round_v2\ZEROTH01_ROUND_V1_CAMERA_LENSES.SLDPRT,reuse_current_native_SLDPRT,0,0,293135,60.300000,7.040341,37.800000,1.429,PASS,sensor_window_visual
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_TORSO_SPINE.step,generated\solidworks\portable_flat_round_v2\ZEROTH01_ROUND_V1_TORSO_SPINE.SLDPRT,reuse_current_native_SLDPRT,0,0,193191,144.000000,16.000000,196.000000,1.355,PASS,internal_parent_frame_structure
generated\cad\round_v1\parts\ZEROTH01_ROUND_V2_EYE_DISPLAY_MODULE.step,generated\solidworks\portable_flat_round_v2\ZEROTH01_ROUND_V2_EYE_DISPLAY_MODULE.SLDPRT,reuse_current_native_SLDPRT,0,0,450600,51.085257,20.111903,1.861479,1.501,PASS,selected_vendor_head_display_exact_step
generated\cad\round_v1\parts\ZEROTH01_ROUND_V1_CAMERA_MODULE.step,generated\solidworks\portable_flat_round_v2\ZEROTH01_ROUND_V1_CAMERA_MODULE.SLDPRT,reuse_current_native_SLDPRT,0,0,115638,25.000000,11.400000,23.862000,1.456,PASS,selected_vendor_camera_exact_step
generated\cad\round_v1\parts\ZEROTH01_ROUND_V2_TOF_MODULE.step,generated\solidworks\portable_flat_round_v2\ZEROTH01_ROUND_V2_TOF_MODULE.SLDPRT,reuse_current_native_SLDPRT,0,0,120645,12.000000,3.000000,10.000000,1.498,PASS,selected_sensor_assumed_carrier_envelope
