joint_id,joint_name,parent_link,child_link,axis,lower_rad,upper_rad,servo_case_fixed_to,output_bridge_fixed_to,thrust_ring_fixed_to,servo_component,bridge_component,mounting_note
S03,right_shoulder_yaw,Z_BOT2_MASTER_BODY_SKELETON,Z_BOT2_MASTER_SHOULDER2_2,"[0.0, 0.0, 1.0]",-0.12,0.12,Z_BOT2_MASTER_BODY_SKELETON,Z_BOT2_MASTER_SHOULDER2_2,Z_BOT2_MASTER_BODY_SKELETON,S03_STS3250_right_shoulder_yaw,S03_PCD14_OUTPUT_BRIDGE_right_shoulder_yaw,purchased-exact STEP; housing fixed to Z_BOT2_MASTER_BODY_SKELETON; fitted 6D residual 3.090 mm
S01,right_shoulder_pitch,Z_BOT2_MASTER_SHOULDER2_2,3215_1Flange_2,"[0.0, 0.0, 1.0]",-0.47123889,0.47123889,3215_1Flange_2,Z_BOT2_MASTER_SHOULDER2_2,3215_1Flange_2,S01_STS3250_right_shoulder_pitch,S01_PCD14_OUTPUT_BRIDGE_right_shoulder_pitch,purchased-exact STEP; housing fixed to 3215_1Flange_2; fitted 6D residual 3.149 mm
S09,right_elbow_yaw,3215_1Flange_2,L_ARM_MIRROR_1,"[0.0, 0.0, 1.0]",-0.24,0.34,3215_1Flange_2,L_ARM_MIRROR_1,3215_1Flange_2,S09_STS3250_right_elbow_yaw,S09_PCD14_OUTPUT_BRIDGE_right_elbow_yaw,purchased-exact STEP; housing fixed to 3215_1Flange_2; fitted 6D residual 2.611 mm
