joint,rms_torque_nm,p95_abs_torque_nm,max_abs_torque_nm,torque_limit_saturation_fraction,rms_speed_rad_s,p95_abs_speed_rad_s,max_abs_speed_rad_s,velocity_limit_exceedance_fraction,rms_current_a_estimated,peak_current_a_estimated,mean_copper_loss_w_estimated,temperature_rise_at_end_k_estimated,steady_state_temperature_rise_k_estimated,mean_mechanical_power_w,peak_abs_mechanical_power_w
left_shoulder_yaw,0.06065139922617398,0.07238166468915375,0.08718042921894706,0.0,0.024650057626300414,0.04754447421255116,0.13752380218616045,0.0,0.051955104374858396,0.0746803595185759,0.007712379630292669,0.0006130015780408388,0.04627427778175601,-0.00027158391462007796,0.006871424859710172
left_shoulder_pitch,0.021502356345692534,0.04960226474828952,0.08582091650634396,0.0,0.048898652102329146,0.11824249741284378,0.22356367855506082,0.0,0.018419314022416613,0.07351577591814087,0.0009693460830182659,7.71043181630648e-05,0.005816076498109595,-0.0006536062726263929,0.016149003063275155
left_elbow_yaw,0.002892229596914498,0.0036891725734485826,0.004651152121368796,0.0,0.0005774236832855855,0.001071117316524491,0.001822075176437068,0.0,0.0024775370807752174,0.003984262473944308,1.7537685676046244e-05,1.3926883384520393e-06,0.00010522611405627746,2.448333156115387e-07,5.539334714397152e-06
right_shoulder_yaw,0.06000980518531632,0.07222755874510718,0.08304764971740188,0.0,0.023218760887565464,0.05011989216412601,0.12331399238220636,0.0,0.051405503116118405,0.07114014456722169,0.007550073573203594,0.0006000318452626018,0.045300441439221566,-0.0001989321575537414,0.005917655408166891
right_shoulder_pitch,0.021845579309866994,0.04978180295167994,0.09608136802292115,0.0,0.04603468391105743,0.1108448100010691,0.24220935187412418,0.0,0.018713325127766956,0.08230506744773992,0.0010005386781071837,7.96233581792994e-05,0.006003232068643102,-0.0005898628097465662,0.01820590778144333
right_elbow_yaw,0.0023756982513655133,0.0031792897201377,0.005986171890981495,0.0,0.0010066119925094532,0.0025064822158561086,0.0036507340924557476,0.0,0.0020350668276025202,0.005127864968819556,1.1832848550880528e-05,9.410361396767833e-07,7.099709130528317e-05,3.7369454949460323e-07,1.6317121117383473e-05
left_hip_yaw,0.21548139353697376,0.4202861073605168,0.5374848619568269,0.0,0.20194213412707776,0.46497071226223835,0.5851458653858242,0.0,0.18458532589338975,0.4604194208073981,0.0973478358147683,0.0077449941129851905,0.5840870148886098,-0.01793177794231214,0.2632624428079389
left_hip_roll,0.44280769372585366,0.8045047960687635,0.9587166216318939,0.0,0.3601862255476066,0.6325228306902853,0.8292259485677823,0.0,0.37931721673436375,0.82125429550356,0.4110901454602973,0.03268856421849252,2.466540872761784,0.05350238951313712,0.5217243751296826
left_hip_pitch,0.7452331425434927,1.254498143495174,1.255251169204712,0.051,0.45850368426192545,0.9658285442703948,1.2511907769190855,0.0,0.6383804198822496,1.0752712442708119,1.1643701728258185,0.092644955772392,6.986221036954911,-0.00941985842532034,0.9499973275556519
left_knee_pitch,0.7379494785316169,1.255251169204712,1.255251169204712,0.096,1.2993945324946166,2.9686921342552415,3.9915393842903413,0.046,0.6321410992928393,1.0752712442708119,1.1417210554718804,0.09074612133088844,6.8503263328312824,0.396059177480486,5.010384479057107
left_ankle_pitch,0.47991368169358145,0.9492138567904206,1.255251169204712,0.005,0.3005695390590798,0.593378882031403,0.8746828457230205,0.0,0.41110288866266415,1.0752712442708119,0.4828731001908189,0.038370806534132364,2.8972386011449136,-0.04501190906833321,0.6612190582684615
right_hip_yaw,0.22448782364281492,0.4327228316943137,0.5255159329130131,0.0,0.21094545131496292,0.44467446257061793,0.6417239779683624,0.0,0.192300399612446,0.45016661599727825,0.10565555340316102,0.008406254310634066,0.6339333204189661,-0.020564228701296663,0.2444576368241685
right_hip_roll,0.4516634828808934,0.799494048980838,0.9894399142615505,0.0,0.3711322710226196,0.6436817013777234,0.9362009305334549,0.0,0.38690324864363707,0.8475724331834616,0.4276974966028572,0.03401168447118467,2.566184979617143,0.05949510550670124,0.6399211229236742
right_hip_pitch,0.7613541014373211,1.255251169204712,1.255251169204712,0.062,0.45882711303143325,0.8881429413816011,1.2392564406603381,0.0,0.6521899298463693,1.0752712442708119,1.2152905845514619,0.09667720746013875,7.291743507308771,-0.005538811960003751,0.9784019024646585
right_knee_pitch,0.741850705104455,1.255251169204712,1.255251169204712,0.078,1.2485444187850743,2.752141817459787,3.692145883396316,0.03,0.635482961745607,1.0752712442708119,1.1538245561970508,0.0917155902221522,6.922947337182305,0.42494774222206205,4.600150374779446
right_ankle_pitch,0.4267354397142416,0.89252479351866,1.141323418316382,0.0,0.2868862339703825,0.543496015301952,0.9545142643062584,0.0,0.36554942826836934,0.9776786369424444,0.381789670020947,0.030351268202503626,2.2907380201256817,-0.04200739195792414,0.6164321442909909
