foot,contact_sample_count,peak_normal_force_n,p95_normal_force_n,normal_impulse_ns,touchdown_count,mean_touchdown_peak_force_n,max_touchdown_peak_force_n,mean_contact_slip_mps,p95_contact_slip_mps,max_contact_slip_mps
left,2040,55.912107525961474,32.30277839452707,135.53369207859745,49,32.97297870130973,55.912107525961474,0.04139395331354885,0.15290723200927575,1.037472553591472
right,2038,57.204441276301765,32.29532768942891,133.86469104759536,49,32.65678025614868,57.204441276301765,0.041046814575021774,0.15379282440379669,1.0126644325705558
