component_id,role,owner_link,native_part,transform_error,status
S08_STS3250_left_hip_yaw,purchased_exact_sts3250,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V4_STS3250_STEP_PARTS_EXACT_SHAFT_FRAME.SLDPRT,6.938893903907228e-18,PASS
S08_PCD14_OUTPUT_BRIDGE_left_hip_yaw,sts3250_pcd14_output_bridge_to_child,U_HIP_L,ZEROTH01_V4_STS3250_PCD14_OUTPUT_BRIDGE_2P05MM.SLDPRT,0.0,PASS
S08_PCD14_4XM3_TIE_RODS_left_hip_yaw,sts3250_pcd14_4xm3_tie_rods_to_carrier,U_HIP_L,ZEROTH01_V4_STS3250_PCD14_4XM3_TIE_RODS_1P95MM.SLDPRT,0.0,PASS
S08_CASE_4XM2_TIE_RODS_left_hip_yaw,sts3250_case_4xm2_tie_rods_to_parent,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V4_STS3250_CASE_4XM2_STANDOFF_4MM.SLDPRT,8.673617379884035e-19,PASS
S07_STS3250_right_hip_yaw,purchased_exact_sts3250,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V4_STS3250_STEP_PARTS_EXACT_SHAFT_FRAME.SLDPRT,6.938893903907228e-18,PASS
S07_PCD14_OUTPUT_BRIDGE_right_hip_yaw,sts3250_pcd14_output_bridge_to_child,U_HIP_R,ZEROTH01_V4_STS3250_PCD14_OUTPUT_BRIDGE_2P05MM.SLDPRT,0.0,PASS
S07_PCD14_4XM3_TIE_RODS_right_hip_yaw,sts3250_pcd14_4xm3_tie_rods_to_carrier,U_HIP_R,ZEROTH01_V4_STS3250_PCD14_4XM3_TIE_RODS_1P95MM.SLDPRT,0.0,PASS
S07_CASE_4XM2_TIE_RODS_right_hip_yaw,sts3250_case_4xm2_tie_rods_to_parent,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V4_STS3250_CASE_4XM2_STANDOFF_4MM.SLDPRT,8.673617379884035e-19,PASS
S12_STS3250_left_hip_roll,purchased_exact_sts3250,3215_BothFlange_5,ZEROTH01_V4_STS3250_STEP_PARTS_EXACT_SHAFT_FRAME.SLDPRT,6.938893903907228e-18,PASS
S12_PCD14_OUTPUT_BRIDGE_left_hip_roll,sts3250_pcd14_output_bridge_to_child,U_HIP_L,ZEROTH01_V4_STS3250_PCD14_OUTPUT_BRIDGE_2P05MM.SLDPRT,0.0,PASS
S12_PCD14_CHILD_STANDOFF_left_hip_roll,sts3250_pcd14_child_standoff_to_carrier,U_HIP_L,ZEROTH01_V4_STS3250_PCD14_CHILD_STANDOFF_1MM.SLDPRT,0.0,PASS
S11_STS3250_right_hip_roll,purchased_exact_sts3250,3215_BothFlange_6,ZEROTH01_V4_STS3250_STEP_PARTS_EXACT_SHAFT_FRAME.SLDPRT,2.220446049250313e-16,PASS
S11_PCD14_OUTPUT_BRIDGE_right_hip_roll,sts3250_pcd14_output_bridge_to_child,U_HIP_R,ZEROTH01_V4_STS3250_PCD14_OUTPUT_BRIDGE_2P05MM.SLDPRT,2.220446049250313e-16,PASS
S11_PCD14_CHILD_STANDOFF_right_hip_roll,sts3250_pcd14_child_standoff_to_carrier,U_HIP_R,ZEROTH01_V4_STS3250_PCD14_CHILD_STANDOFF_1MM.SLDPRT,2.220446049250313e-16,PASS
S05_STS3250_left_hip_pitch,purchased_exact_sts3250,3215_BothFlange_9,ZEROTH01_V4_STS3250_STEP_PARTS_EXACT_SHAFT_FRAME.SLDPRT,6.938893903907228e-18,PASS
S05_PCD14_OUTPUT_BRIDGE_left_hip_pitch,sts3250_pcd14_output_bridge_to_child,3215_BothFlange_5,ZEROTH01_V4_STS3250_PCD14_OUTPUT_BRIDGE_2P05MM.SLDPRT,0.0,PASS
S05_PCD14_CHILD_STANDOFF_left_hip_pitch,sts3250_pcd14_child_standoff_to_carrier,3215_BothFlange_5,ZEROTH01_V4_STS3250_PCD14_CHILD_STANDOFF_1MM.SLDPRT,0.0,PASS
S04_STS3250_right_hip_pitch,purchased_exact_sts3250,3215_BothFlange_10,ZEROTH01_V4_STS3250_STEP_PARTS_EXACT_SHAFT_FRAME.SLDPRT,0.0,PASS
S04_PCD14_OUTPUT_BRIDGE_right_hip_pitch,sts3250_pcd14_output_bridge_to_child,3215_BothFlange_6,ZEROTH01_V4_STS3250_PCD14_OUTPUT_BRIDGE_2P05MM.SLDPRT,0.0,PASS
