part,installed_link,nominal_mass_kg,com_x_m,com_y_m,com_z_m,ixx,iyy,izz,ixy,ixz,iyz,inertia_gate
chest_panel,Z_BOT2_MASTER_BODY_SKELETON,0.10189149228737596,-1.0964401323757079e-11,-0.038240923295907864,-0.014338704131507755,6.907008918919564e-05,0.00021018345309879865,0.000141919311919092,4.281572687927106e-15,2.153059441443284e-14,7.638338079513831e-08,PASS
head_front,Z_BOT2_MASTER_BODY_SKELETON,0.12279450436356554,7.355897278710181e-05,-0.015233665573688685,0.07242942946751837,0.0002034245110376866,0.00043812754102899126,0.00027387893387678463,-2.6585437560592185e-07,1.9995073359618255e-07,-3.1563458181806117e-06,PASS
head_back,Z_BOT2_MASTER_BODY_SKELETON,0.176741934935152,-2.0293112707612178e-05,0.032924882315910675,0.07966218690019836,0.0002973837703795757,0.0006044087626896589,0.00039422960029793035,-6.530388224022308e-08,3.911805953302832e-09,2.351299649681972e-05,PASS
visor,Z_BOT2_MASTER_BODY_SKELETON,0.04472576873214486,-2.2190761066647013e-05,-0.052,0.06990846576032975,2.1315214732761142e-05,6.97774521310985e-05,4.85815061149564e-05,-1.7834099708124995e-21,3.814919911594844e-08,-3.784894943237304e-20,PASS
camera_bracket,Z_BOT2_MASTER_BODY_SKELETON,0.010741117838046191,-9.590319436383521e-11,-0.030182263934920378,0.10369396950314197,8.894952510454686e-07,2.2643829182015565e-06,2.00923073757362e-06,-2.1794227638681307e-15,1.0386645314891512e-15,-9.566734263324312e-08,PASS
left_q_hand,FINGER_1,0.05245157761160641,-0.0036037615984082063,-0.02897649833209025,0.018773307410678324,9.139378861770708e-06,1.0153742917278147e-05,1.0300172702467749e-05,6.294321543790483e-09,-2.930274404790836e-08,1.3271436775837464e-09,PASS
right_q_hand,FINGER_1_2,0.052451572090801965,-0.003603760144327918,0.02897649547332191,0.018773308056904792,9.139379206957546e-06,1.0153741491483683e-05,1.0300172092601836e-05,-6.296283036451125e-09,-2.930227962767971e-08,-1.3288948673021791e-09,PASS
left_sole,FOOT,0.04781395183531005,-0.016000000000000004,0.04010000000000001,0.01369999999999997,6.981325206054514e-06,5.3460289899188646e-05,4.7091828927632576e-05,4.470348358154297e-21,-2.2351741790771483e-21,-4.470348358154297e-21,PASS
right_sole,FOOT_2,0.04781395183531006,-0.015999999999999986,-0.040099999999999976,0.013699999999999967,6.981325206054514e-06,5.346028989918868e-05,4.7091828927632596e-05,-2.6822090148925778e-20,2.2351741790771483e-21,4.470348358154297e-21,PASS
