joint,sample,commanded_angle_rad,commanded_abs_rotation_deg,housing_parent_link,output_child_link,housing_rotation_from_zero_deg,housing_translation_from_zero_mm,housing_to_output_rotation_deg,transmission_rotation_error_deg,shaft_origin_separation_mm,status
left_hip_roll,zero,0.000000000,0.000000000,hip_roll_left,knee_pitch_right_2,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,PASS
left_hip_roll,upper,0.235619448,13.499999942,hip_roll_left,knee_pitch_right_2,0.000000000,0.000000000,13.499999942,0.000000000,0.000000000,PASS
right_knee_pitch,lower,0.000000000,0.000000000,knee_pitch_right,ankle_pitch_right,0.000000000,0.000000000,0.000001207,0.000001207,0.000000000,PASS
right_knee_pitch,zero,0.000000000,0.000000000,knee_pitch_right,ankle_pitch_right,0.000000000,0.000000000,0.000001207,0.000001207,0.000000000,PASS
right_knee_pitch,upper,0.832859280,47.719321672,knee_pitch_right,ankle_pitch_right,0.000000000,0.000000000,47.719321672,0.000000000,0.000000000,PASS
left_knee_pitch,lower,-0.832859280,47.719321672,knee_pitch_right_2,ankle_pitch_left,0.000001207,0.000000000,47.719321672,0.000000000,0.000000000,PASS
left_knee_pitch,zero,0.000000000,0.000000000,knee_pitch_right_2,ankle_pitch_left,0.000001207,0.000000000,0.000001708,0.000001708,0.000000000,PASS
left_knee_pitch,upper,0.000000000,0.000000000,knee_pitch_right_2,ankle_pitch_left,0.000001207,0.000000000,0.000001708,0.000001708,0.000000000,PASS
right_ankle_pitch,lower,0.000000000,0.000000000,ankle_pitch_right,foot_right,0.000001207,0.000000000,0.000001708,0.000001708,0.000000000,PASS
right_ankle_pitch,zero,0.000000000,0.000000000,ankle_pitch_right,foot_right,0.000001207,0.000000000,0.000001708,0.000001708,0.000000000,PASS
right_ankle_pitch,upper,0.664159280,38.053523668,ankle_pitch_right,foot_right,0.000001207,0.000000000,38.053523668,0.000000000,0.000000000,PASS
left_ankle_pitch,lower,-0.664159280,38.053523668,ankle_pitch_left,foot_left,0.000001207,0.000000000,38.053523668,0.000000000,0.000000000,PASS
left_ankle_pitch,zero,0.000000000,0.000000000,ankle_pitch_left,foot_left,0.000001207,0.000000000,0.000001207,0.000001207,0.000000000,PASS
left_ankle_pitch,upper,0.000000000,0.000000000,ankle_pitch_left,foot_left,0.000001207,0.000000000,0.000001207,0.000001207,0.000000000,PASS
