link,baseline_mass_kg,overlay_mass_kg,combined_mass_kg,combined_com_x_m,combined_com_y_m,combined_com_z_m,combined_ixx_kg_m2,combined_iyy_kg_m2,combined_izz_kg_m2,combined_ixy_kg_m2,combined_ixz_kg_m2,combined_iyz_kg_m2,positive_definite_inertia_gate,hardware_override_required
Torso,1.5697539312,0.885381810555,2.45513574175,0.000407928426263,0.00194260619311,0.00667122475262,0.0119478453386,0.014665829881,0.00481771680551,3.68337100051e-06,-7.82927210763e-05,0.000868202256605,PASS,YES
foot_left,0.04062216,0.0855354853569,0.126157645357,-0.00933363752452,-0.0219646744629,0.0186408435912,4.93913104813e-05,0.000168927649715,0.000130461702941,-1.56827564852e-06,7.51857121385e-08,2.79798732345e-07,PASS,YES
foot_right,0.040622158,0.0855354853569,0.126157643357,-0.00933363735592,-0.0219646745544,-0.018640843282,4.93913094791e-05,0.00016892764885,0.000130461702945,-1.56827597132e-06,-7.51857923639e-08,-2.79798957529e-07,PASS,YES
